WikiPageName,Party,State
Steve_Pearce_(politician),Republican,New Mexico
Gus_Bilirakis,Republican,Florida
Vern_Buchanan,Republican,Florida
Kathy_Castor,Democratic,Florida
Yvette_Clarke,Democratic,New York
Steve_Cohen,Democratic,Tennessee
Joe_Courtney_(politician),Democratic,Connecticut
Keith_Ellison,Democratic,Minnesota
Hank_Johnson,Democratic,Georgia
Jim_Jordan_(American_politician),Republican,Ohio
Doug_Lamborn,Republican,Colorado
Dave_Loebsack,Democratic,Iowa
Kevin_McCarthy_(California_politician),Republican,California
Jerry_McNerney,Democratic,California
Ed_Perlmutter,Democratic,Colorado
Peter_Roskam,Republican,Illinois
John_Sarbanes,Democratic,Maryland
Adrian_Smith_(politician),Republican,Nebraska
Tim_Walz,Democratic,Minnesota
Peter_Welch,Democratic,Vermont
John_Yarmuth,Democratic,Kentucky
Niki_Tsongas,Democratic,Massachusetts
Bob_Latta,Republican,Ohio
Rob_Wittman,Republican,Virginia
André_Carson,Democratic,Indiana
Jackie_Speier,Democratic,California
Steve_Scalise,Republican,Louisiana
Donna_Edwards,Democratic,Maryland
Marcia_Fudge,Democratic,Ohio
Rick_Nolan,Democratic,Minnesota
Matt_Salmon,Republican,Arizona
Mark_Sanford,Republican,South Carolina
Jason_Chaffetz,Republican,Utah
Mike_Coffman,Republican,Colorado
Gerry_Connolly,Democratic,Virginia
John_Fleming_(American_politician),Republican,Louisiana
Brett_Guthrie,Republican,Kentucky
Gregg_Harper,Republican,Mississippi
Jim_Himes,Democratic,Connecticut
Duncan_D._Hunter,Republican,California
Lynn_Jenkins,Republican,Kansas
Leonard_Lance,Republican,New Jersey
Blaine_Luetkemeyer,Republican,Missouri
Ben_Ray_Luján,Democratic,New Mexico
Cynthia_Lummis,Republican,Wyoming
Tom_McClintock,Republican,California
Pete_Olson,Republican,Texas
Erik_Paulsen,Republican,Minnesota
Chellie_Pingree,Democratic,Maine
Jared_Polis,Democratic,Colorado
Bill_Posey,Republican,Florida
Phil_Roe_(politician),Republican,Tennessee
Tom_Rooney_(Florida_politician),Republican,Florida
Aaron_Schock,Republican,Illinois
Kurt_Schrader,Democratic,Oregon
Glenn_Thompson_(politician),Republican,Pennsylvania
Paul_Tonko,Democratic,New York
Mike_Quigley_(politician),Democratic,Illinois
Judy_Chu,Democratic,California
John_Garamendi,Democratic,California
Ted_Deutch,Democratic,Florida
Tom_Graves,Republican,Georgia
Tom_Reed_(politician),Republican,New York
Marlin_Stutzman,Republican,Indiana
Mike_Fitzpatrick,Republican,Pennsylvania
Tim_Walberg,Republican,Michigan
