WikiPageName,Party,State,Name,tw_id,tw_name
Tom_Cole,Republican,Oklahoma,Tom Cole,23124635.0,TomColeOK04
Raúl_Grijalva,Democratic,Arizona,Raúl Grijalva,28602948.0,RepRaulGrijalva
Steve_King,Republican,Iowa,Steve King,48117116.0,SteveKingIA
Tim_Murphy_(American_politician),Republican,Pennsylvania,Tim Murphy,1.17397807054e+18,RepGregMurphy
Devin_Nunes,Republican,California,Devin Nunes,344972339.0,RepDevinNunes
Mike_Rogers_(Alabama_politician),Republican,Alabama,Mike Rogers,33977070.0,RepMikeRogersAL
Dutch_Ruppersberger,Democratic,Maryland,Dutch Ruppersberger,305620929.0,Call_Me_Dutch
Tim_Ryan_(politician),Democratic,Ohio,Tim Ryan,13491312.0,RepTimRyan
Linda_Sánchez,Democratic,California,Linda Sánchez,312134473.0,RepLindaSanchez
David_Scott_(Georgia_politician),Democratic,Georgia,David Scott,168673083.0,repdavidscott
Mike_Turner,Republican,Ohio,Mike Turner,51228911.0,RepMikeTurner
G._K._Butterfield,Democratic,North Carolina,G. K. Butterfield,432676344.0,GKButterfield
Emanuel_Cleaver,Democratic,Missouri,Emanuel Cleaver,163570705.0,repcleaver
Mike_Conaway,Republican,Texas,Mike Conaway,295685416.0,ConawayTX11
Jim_Costa,Democratic,California,Jim Costa,245451804.0,RepJimCosta
Henry_Cuellar,Democratic,Texas,Henry Cuellar,210926192.0,RepCuellar
Jeff_Fortenberry,Republican,Nebraska,Jeff Fortenberry,18805303.0,JeffFortenberry
Virginia_Foxx,Republican,North Carolina,Virginia Foxx,16256269.0,virginiafoxx
Louie_Gohmert,Republican,Texas,Louie Gohmert,22055226.0,replouiegohmert
Al_Green_(politician),Democratic,Texas,Al Green,156333623.0,RepAlGreen
Brian_Higgins,Democratic,New York,Brian Higgins,33576489.0,RepBrianHiggins
Dan_Lipinski,Democratic,Illinois,Dan Lipinski,1009269193.0,RepLipinski
Kenny_Marchant,Republican,Texas,Kenny Marchant,23976316.0,RepKenMarchant
Michael_McCaul,Republican,Texas,Michael McCaul,26424123.0,RepMcCaul
Patrick_McHenry,Republican,North Carolina,Patrick McHenry,27676828.0,PatrickMcHenry
Cathy_McMorris_Rodgers,Republican,Washington,Cathy McMorris Rodgers,17976923.0,cathymcmorris
Gwen_Moore,Democratic,Wisconsin,Gwen Moore,22669526.0,RepGwenMoore
Debbie_Wasserman_Schultz,Democratic,Florida,Debbie Wasserman Schultz,1140648348.0,RepDWStweets
Doris_Matsui,Democratic,California,Doris Matsui,38254095.0,DorisMatsui
Albio_Sires,Democratic,New Jersey,Albio Sires,18696134.0,RepSires
Gus_Bilirakis,Republican,Florida,Gus Bilirakis,26051676.0,RepGusBilirakis
Vern_Buchanan,Republican,Florida,Vern Buchanan,20467163.0,VernBuchanan
Kathy_Castor,Democratic,Florida,Kathy Castor,1880674038.0,USRepKCastor
Yvette_Clarke,Democratic,New York,Yvette Clarke,240812994.0,RepYvetteClarke
Steve_Cohen,Democratic,Tennessee,Steve Cohen,162069635.0,RepCohen
Joe_Courtney_(politician),Democratic,Connecticut,Joe Courtney,85396297.0,RepJoeCourtney
Hank_Johnson,Democratic,Georgia,Hank Johnson,24745957.0,RepHankJohnson
Jim_Jordan_(American_politician),Republican,Ohio,Jim Jordan,18166778.0,Jim_Jordan
Doug_Lamborn,Republican,Colorado,Doug Lamborn,584012853.0,RepDLamborn
Dave_Loebsack,Democratic,Iowa,Dave Loebsack,510516465.0,daveloebsack
Kevin_McCarthy_(California_politician),Republican,California,Kevin McCarthy,19739126.0,GOPLeader
Jerry_McNerney,Democratic,California,Jerry McNerney,385429543.0,RepMcNerney
Ed_Perlmutter,Democratic,Colorado,Ed Perlmutter,20552026.0,RepPerlmutter
Pete_Roskam,Republican,Illinois,Pete Roskam,20015903.0,PeterRoskam
John_Sarbanes,Democratic,Maryland,John Sarbanes,364415553.0,RepSarbanes
Adrian_Smith_(politician),Republican,Nebraska,Adrian Smith,296245061.0,RepAdrianSmith
Tim_Walz,Democratic,Minnesota,Tim Walz,85726335.0,Tim_Walz
Peter_Welch,Democratic,Vermont,Peter Welch,1410590874.0,PeterWelch
John_Yarmuth,Democratic,Kentucky,John Yarmuth,384913290.0,RepJohnYarmuth
Bob_Latta,Republican,Ohio,Bob Latta,15394954.0,boblatta
Rob_Wittman,Republican,Virginia,Rob Wittman,15356407.0,RobWittman
André_Carson,Democratic,Indiana,André Carson,199325935.0,RepAndreCarson
Jackie_Speier,Democratic,California,Jackie Speier,24913074.0,RepSpeier
Steve_Scalise,Republican,Louisiana,Steve Scalise,1209417007.0,SteveScalise
Marcia_Fudge,Democratic,Ohio,Marcia Fudge,153486399.0,RepMarciaFudge
Gerry_Connolly,Democratic,Virginia,Gerry Connolly,78445977.0,GerryConnolly
Brett_Guthrie,Republican,Kentucky,Brett Guthrie,1908143071.0,RepGuthrie
Jim_Himes,Democratic,Connecticut,Jim Himes,31611298.0,jahimes
Duncan_D._Hunter,Republican,California,Duncan D. Hunter,1305596696.0,Rep_Hunter
Blaine_Luetkemeyer,Republican,Missouri,Blaine Luetkemeyer,1849261916.0,RepBlaine
Ben_Ray_Luján,Democratic,New Mexico,Ben Ray Luján,19318314.0,repbenraylujan
Tom_McClintock,Republican,California,Tom McClintock,50152441.0,RepMcClintock
Pete_Olson,Republican,Texas,Pete Olson,20053279.0,RepPeteOlson
Chellie_Pingree,Democratic,Maine,Chellie Pingree,14984637.0,chelliepingree
Bill_Posey,Republican,Florida,Bill Posey,25086658.0,congbillposey
Phil_Roe_(politician),Republican,Tennessee,Phil Roe,52503751.0,DrPhilRoe
Kurt_Schrader,Democratic,Oregon,Kurt Schrader,20545793.0,RepSchrader
Glenn_Thompson_(politician),Republican,Pennsylvania,Glenn Thompson,18967498.0,CongressmanGT
Paul_Tonko,Democratic,New York,Paul Tonko,84119348.0,RepPaulTonko
Mike_Quigley_(politician),Democratic,Illinois,Mike Quigley,56864092.0,RepMikeQuigley
Judy_Chu,Democratic,California,Judy Chu,193732179.0,RepJudyChu
John_Garamendi,Democratic,California,John Garamendi,88806753.0,RepGaramendi
Ted_Deutch,Democratic,Florida,Ted Deutch,137794015.0,RepTedDeutch
Tom_Graves,Republican,Georgia,Tom Graves,190328374.0,RepTomGraves
Tom_Reed_(politician),Republican,New York,Tom Reed,252819323.0,RepTomReed
Tim_Walberg,Republican,Michigan,Tim Walberg,237862972.0,RepWalberg
Bill_Foster_(politician),Democratic,Illinois,Bill Foster,1080509366.0,RepBillFoster
Justin_Amash,Republican,Michigan,Justin Amash,233842454.0,justinamash
Karen_Bass,Democratic,California,Karen Bass,239949176.0,RepKarenBass
Mo_Brooks,Republican,Alabama,Mo Brooks,237299871.0,RepMoBrooks
Larry_Bucshon,Republican,Indiana,Larry Bucshon,234812598.0,RepLarryBucshon
David_Cicilline,Democratic,Rhode Island,David Cicilline,23593446.0,davidcicilline
Rick_Crawford_(politician),Republican,Arkansas,Rick Crawford,233693291.0,RepRickCrawford
Scott_DesJarlais,Republican,Tennessee,Scott DesJarlais,235312723.0,DesJarlaisTN04
Jeff_Duncan_(politician),Republican,South Carolina,Jeff Duncan,240393970.0,RepJeffDuncan
Chuck_Fleischmann,Republican,Tennessee,Chuck Fleischmann,235190657.0,RepChuck
Bill_Flores,Republican,Texas,Bill Flores,237312687.0,RepBillFlores
Bob_Gibbs,Republican,Ohio,Bob Gibbs,234822928.0,RepBobGibbs
Paul_Gosar,Republican,Arizona,Paul Gosar,240760644.0,RepGosar
Morgan_Griffith,Republican,Virginia,Morgan Griffith,234057152.0,RepMGriffith
Andy_Harris_(politician),Republican,Maryland,Andy Harris,960962340.0,RepAndyHarrisMD
Vicky_Hartzler,Republican,Missouri,Vicky Hartzler,237763317.0,RepHartzler
Jaime_Herrera_Beutler,Republican,Washington,Jaime Herrera Beutler,242926427.0,HerreraBeutler
Bill_Huizenga,Republican,Michigan,Bill Huizenga,233949261.0,RepHuizenga
Bill_Johnson_(Ohio_politician),Republican,Ohio,Bill Johnson,211530910.0,RepBillJohnson
Bill_Keating_(politician),Democratic,Massachusetts,Bill Keating,232992031.0,USRepKeating
Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania,Mike Kelly,935368364.0,MikeKellyPA
Adam_Kinzinger,Republican,Illinois,Adam Kinzinger,219429281.0,RepKinzinger
Billy_Long,Republican,Missouri,Billy Long,1444015610.0,USRepLong
David_McKinley,Republican,West Virginia,David McKinley,240427862.0,RepMcKinley
Steven_Palazzo,Republican,Mississippi,Steven Palazzo,299883942.0,CongPalazzo
Cedric_Richmond,Democratic,Louisiana,Cedric Richmond,267854863.0,RepRichmond
Martha_Roby,Republican,Alabama,Martha Roby,224294785.0,RepMarthaRoby
Dennis_Ross_(politician),Republican,Florida,Dennis Ross,1.09032822955e+18,RepRossSpano
David_Schweikert,Republican,Arizona,David Schweikert,229197216.0,RepDavid
Austin_Scott_(politician),Republican,Georgia,Austin Scott,234797704.0,AustinScottGA08
Terri_Sewell,Democratic,Alabama,Terri Sewell,381152398.0,RepTerriSewell
Steve_Stivers,Republican,Ohio,Steve Stivers,211420609.0,RepSteveStivers
Scott_Tipton,Republican,Colorado,Scott Tipton,242873057.0,RepTipton
Daniel_Webster_(Florida_politician),Republican,Florida,Daniel Webster,281540744.0,RepWebster
Frederica_Wilson,Democratic,Florida,Frederica Wilson,234014087.0,RepWilson
Steve_Womack,Republican,Arkansas,Steve Womack,234469322.0,rep_stevewomack
Rob_Woodall,Republican,Georgia,Rob Woodall,2382685057.0,RepRobWoodall
Mark_Amodei,Republican,Nevada,Mark Amodei,402719755.0,MarkAmodeiNV2
Suzanne_Bonamici,Democratic,Oregon,Suzanne Bonamici,558769636.0,RepBonamici
Suzan_DelBene,Democratic,Washington,Suzan DelBene,995193054.0,RepDelBene
Thomas_Massie,Republican,Kentucky,Thomas Massie,975200486.0,RepThomasMassie
Dina_Titus,Democratic,Nevada,Dina Titus,122174004.0,repdinatitus
